Ch	Filter	Wave	ID	Wave_0	Peak	Spatial distro	V_hel
1		5.1316	H I 6-10	5.128657	200	Diffuse	172.
1		5.3436	[Fe II]	5.3401693	600	Very compact	193.
1		5.9116	H I 6-9	5.908213	350	H-like	172.
1		5.9604	H I 7-14	5.9568435	180	H-like	179.
1		6.2956	H I 7-13	6.291916	106	V. Marginal	176.
1	f770w	6.7756	H I 7-12	6.771991	170	Marginal	160.
1	f770w	6.914	H_2 S(5)	6.9091	150	Marginal	213.
1	f770w	6.9892	[Ar II]	6.985274	30000	More compact	168.
1	f770w	7.4644	H I 5-6	7.459858	3000	H-like	183.
1	f770w	7.5068	H I 6-8	7.502493	700	H-like	172.
1	f770w	7.5124	H I 7-11	7.50810	165	H-like	172.
2	f770w	7.51325	H I 7-11	7.50810	190	Same as prev	206.
2	f770w	8.16065	H I 8-15	8.154890	60	Very marginal	212.
2	f770w	8.67025	H I 8-14	8.664503	60	Marginal diffuse	199.
2		8.76515	H I 7-10	8.760064	250	H-like	174.
2		9.39825	H I 8-13	9.392018	80	H-like	199.
2		9.67125	H_2 S(3)	9.6649	175	compact	197.
2		10.5098	H I 8-12	10.503499	135	H-like	180.
2	f1130w	11.3158	H I 7-9	11.308695	450	H-like	188.
2	f1130w	11.5472	H I 9-15	11.539491	50	v. marginal	200.
3	f1280w	12.1638	H I 10-20	12.156833	20	Diffuse	172.
3	f1280w	12.2863	H_2 S(2)	12.2785	35	V. compact	190.
3	f1280w	12.3788	H I 6-7	12.371898	1200	H-like	167.
3	f1280w	12.3938	H I 8-11	12.387168	110	In wing of 6-7	161.
3	f1280w	12.5938	H I 9-14	12.587077	60	Diffuse	160.
3	f1280w	12.61875	H I 10-19	12.610967	25	Marginal	185.
3	f1280w	12.8213	[Ne II]	12.813548	75000	Super strong	181.
3	f1280w	13.1963	H I 10-18	13.187992	30	H-like	189.
3	f1280w	13.9488	H I 10-17	13.941764	35	H-like	151.
3		14.1913	H I 9-13	14.183084	105	H-like	174.
3		14.3763	[Cl II]	14.3678	1100	Compact	177.
3		14.8163	He I  ?	14.80408269	85	V. diffuse	247.
3		14.9713	H I 10-16	14.962256	40	H-like	181.
3		15.5638	[Ne III]	15.55505	80	V. diffuse	169.
3		15.8263	H I 11-20	15.816956	18	H-like	177.
3		16.6038	H I 11-19	16.594459	28	H-like	169.
3		16.2188	H I 8-10	16.209104	250	H-like	179.
3		16.4213	H I 10-15	16.411724	40	H-like	175.
3	f1800w	16.6038	UIL	16.595	30	Diffuse	159.
3	f1800w	16.8913	H I 9-12	16.880628	130	H-like	190.
3	f1800w	17.0463	H_2 S(1)	17.0346	40	Compact	206.
3	f1800w	17.8963	[P III]	17.8846	230	Diffuse	196.
3	f1800w	17.9463	[Fe II]	17.936026	350	V. Compact	172.
4	f1800w	17.9463	[Fe II]	17.936026	350	V. Compact	172.
4	f1800w	18.627	H I 10-14	18.615150	30	V. marginal	191.
4	f1800w	18.723	[S III]	18.71303	35000		160.
4	f1800w	19.071	H I 7-8	19.061898	500	H-like	143.
4		21.873	UIL	21.861	90	V. diffuse	165.
4		22.347	He I 9g-11f T	22.3331956	140	Diffuse	185.
4		22.941	[Fe III]	22.9250	1000	Compact	209.
4		24.531	UIL	24.517	60	H-like	171.
4		26.007	[Fe II]	25.988390	650	V. compact	215.
4		27.273	UIL	27.258	160		165.
