Slit	x	y	V	PA	R_proj	Group	R_s (const)	R_s (hubb)	inc (const)	inc (hubb)	V_los (hubb)
D	-26.8	0	32	90.	26.8	E-27	36 +/- 4	31 +/- 2	42. +/- 7.	30. +/- 6.	36. +/- 9.
D	-26.8	-19	34	125.	32.9	SE-30	40 +/- 5	37 +/- 2	35. +/- 10.	27. +/- 6.	39. +/- 10.
E	-18.0	8	26	66.	19.7	NE-20	29 +/- 2	22 +/- 2	47. +/- 4.	26. +/- 10.	23. +/- 10.
E	-18.0	1	33	87.	18.0	E-20	25 +/- 5	24 +/- 2	44. +/- 12.	41. +/- 5.	37. +/- 7.
E	-18.0	-22	40	141.	28.4	SE-30	nan	34 +/- 2	nan	33. +/- 5.	43. +/- 8.
F	-11.3	14	32	39.	18.0	NE-13	25 +/- 5	22 +/- 2	44. +/- 12.	35. +/- 7.	29. +/- 8.
F	-11.3	9	35	51.	14.4	E-13	20 +/- 5	21 +/- 2	44. +/- 15.	47. +/- 5.	35. +/- 6.
F	-11.3	2	36	80.	11.5	E-13	20 +/- 7	21 +/- 3	55. +/- 14.	57. +/- 5.	40. +/- 8.
F	-11.3	-4	-20	109.	12.0	ESE-13	14 +/- 3	16 +/- 1	31. +/- 20.	41. +/- 4.	24. +/- 3.
F	-11.3	-8	45	125.	13.8	SE-13	35 +/- 10	25 +/- 2	67. +/- 7.	56. +/- 3.	48. +/- 6.
F	-11.3	-32	15	161.	33.9	S-33	35 +/- 2	35 +/- 2	14. +/- 13.	14. +/- 13.	20. +/- 18.
G	-5.1	20		14.	20.6	N-16	27 +/- 5	25 +/- 2	40. +/- 13.	35. +/- 7.	33. +/- 8.
G	-5.1	14		20.	14.9	NE-13	25 +/- 7	23 +/- 2	53. +/- 12.	50. +/- 4.	40. +/- 6.
G	-5.1	6		40.	7.9	NE-04	15 +/- 5	20 +/- 2	58. +/- 12.	67. +/- 2.	42. +/- 5.
G	-5.1	-12		157.	13.0	S-12	20 +/- 5	20 +/- 2	49. +/- 12.	49. +/- 5.	35. +/- 6.
G	-5.1	-24		168.	24.5	S-25	30 +/- 3	27 +/- 2	35. +/- 8.	25. +/- 9.	26. +/- 11.
H	0.0	17		0e0	17.0	N-16	20 +/- 2	20 +/- 2	32. +/- 9.	32. +/- 9.	24. +/- 9.
H	0.0	10		0e0	10.0	N-10	15 +/- 5	18 +/- 2	48. +/- 17.	56. +/- 4.	34. +/- 6.
H	0.0	3		0e0	3.0	NE-04	20 +/- 10	17 +/- 4	81. +/- 4.	80. +/- 2.	38. +/- 9.
H	0.0	-9		180.	9.0	S-07	15 +/- 5	17 +/- 2	53. +/- 14.	58. +/- 4.	33. +/- 5.
H	0.0	-13		180.	13.0	S-12	17 +/- 3	18 +/- 2	40. +/- 12.	44. +/- 7.	29. +/- 7.
H	0.0	-23		180.	23.0	S-25	30 +/- 5	27 +/- 2	40. +/- 11.	32. +/- 7.	33. +/- 9.
I	9.4	25		339.	26.7	N-27	30 +/- 2	28 +/- 2	27. +/- 7.	18. +/- 13.	19. +/- 15.
I	9.4	4		293.	10.2	NE-04	35 +/- 10	23 +/- 3	73. +/- 5.	64. +/- 4.	47. +/- 8.
I	9.4	-3		252.	9.9	W-08	35 +/- 10	22 +/- 3	74. +/- 5.	63. +/- 4.	45. +/- 8.
I	9.4	-9		226.	13.0	S-12	25 +/- 7	21 +/- 3	59. +/- 10.	52. +/- 6.	38. +/- 9.
I	9.4	-18		208.	20.3	SSW-20	23 +/- 3	21 +/- 2	28. +/- 14.	15. +/- 21.	12. +/- 18.
I	9.4	-27	-20	199.	28.6	S-28	32 +/- 3	29 +/- 2	27. +/- 11.	10. +/- 24.	11. +/- 28.
J	16.5	-1		267.	16.5	W-21	30 +/- 7	24 +/- 4	57. +/- 9.	47. +/- 9.	40. +/- 13.
J	16.5	-19		221.	25.2	SW-27	33 +/- 5	28 +/- 2	40. +/- 10.	26. +/- 8.	28. +/- 11.
K	23.8	0		270.	23.8	W-21	35 +/- 10	28 +/- 2	47. +/- 15.	32. +/- 7.	34. +/- 9.
K	23.8	-12		243.	26.7	WSW-27	32 +/- 3	29 +/- 2	33. +/- 8.	23. +/- 9.	26. +/- 12.
